Designator,Mid X,Mid Y,Rotation,Layer
C1,111.77,-118.4175,270.0,top
C2,106.16,-118.44,90.0,top
D1,103.92,-118.47,270.0,top
J1,91.44,-113.03,0.0,bottom
J11,99.72,-117.484968,270.0,top
J2,115.98,-115.555,90.0,top
J4,105.24,-110.58,0.0,top
J5,102.87,-102.87,0.0,top
SW1,115.435,-125.89,0.0,top
SW2,105.91,-125.89,0.0,top
U1,108.92,-118.42,180.0,top
